,vax_prod,mmwr_wk,age_grpF,doseInt3,n,week_date,denom,rate,doseInt3F
1,Moderna,15,18-49,1,1,Apr 11-Apr 17,17385,5.752085131,17-23 days
2,Moderna,15,18-49,2,30,Apr 11-Apr 17,2816165,1.06527849,24-30 days
3,Moderna,15,18-49,3,2,Apr 11-Apr 17,353550,0.56569085,31-37 days
4,Moderna,15,18-49,4,1,Apr 11-Apr 17,76098,1.314094983,>37 days
5,Moderna,15,50-64,1,1,Apr 11-Apr 17,16553,6.041200991,17-23 days
6,Moderna,15,50-64,2,17,Apr 11-Apr 17,2174011,0.781964765,24-30 days
7,Moderna,15,50-64,3,1,Apr 11-Apr 17,236498,0.422836557,31-37 days
8,Moderna,15,65+,2,33,Apr 11-Apr 17,6723028,0.490850254,24-30 days
9,Moderna,15,65+,3,6,Apr 11-Apr 17,807111,0.743392173,31-37 days
10,Moderna,15,65+,4,1,Apr 11-Apr 17,129375,0.77294686,>37 days
11,Moderna,16,18-49,2,39,Apr 18-Apr 24,3373371,1.156113573,24-30 days
12,Moderna,16,18-49,3,5,Apr 18-Apr 24,417488,1.197639214,31-37 days
13,Moderna,16,50-64,2,19,Apr 18-Apr 24,2772132,0.685393048,24-30 days
14,Moderna,16,50-64,3,3,Apr 18-Apr 24,298910,1.003646583,31-37 days
15,Moderna,16,50-64,4,2,Apr 18-Apr 24,49046,4.07780451,>37 days
16,Moderna,16,65+,2,44,Apr 18-Apr 24,7400039,0.594591461,24-30 days
17,Moderna,16,65+,3,4,Apr 18-Apr 24,897550,0.445657624,31-37 days
18,Moderna,17,18-49,0,2,Apr 25-May 01,35003,5.71379596,<17 days
19,Moderna,17,18-49,2,50,Apr 25-May 01,4063367,1.230506622,24-30 days
20,Moderna,17,18-49,3,6,Apr 25-May 01,502304,1.194495764,31-37 days
21,Moderna,17,18-49,4,2,Apr 25-May 01,95728,2.089252883,>37 days
22,Moderna,17,50-64,2,35,Apr 25-May 01,3543212,0.987804286,24-30 days
23,Moderna,17,50-64,3,2,Apr 25-May 01,384601,0.520019449,31-37 days
24,Moderna,17,50-64,4,1,Apr 25-May 01,58618,1.705960626,>37 days
25,Moderna,17,65+,0,1,Apr 25-May 01,238274,0.419684901,<17 days
26,Moderna,17,65+,2,59,Apr 25-May 01,7844875,0.752083367,24-30 days
27,Moderna,17,65+,3,10,Apr 25-May 01,960263,1.041381372,31-37 days
28,Moderna,17,65+,4,1,Apr 25-May 01,160464,0.623192741,>37 days
29,Moderna,18,18-49,0,1,May 02-May 08,38972,2.565944781,<17 days
30,Moderna,18,18-49,1,1,May 02-May 08,26140,3.825554705,17-23 days
31,Moderna,18,18-49,2,42,May 02-May 08,4943714,0.849563709,24-30 days
32,Moderna,18,18-49,3,4,May 02-May 08,591418,0.676340592,31-37 days
33,Moderna,18,18-49,4,1,May 02-May 08,110097,0.908289962,>37 days
34,Moderna,18,50-64,0,1,May 02-May 08,44325,2.25606317,<17 days
35,Moderna,18,50-64,2,34,May 02-May 08,4464168,0.761620082,24-30 days
36,Moderna,18,50-64,3,4,May 02-May 08,480204,0.832979317,31-37 days
37,Moderna,18,65+,2,67,May 02-May 08,8183821,0.818688483,24-30 days
38,Moderna,18,65+,3,1,May 02-May 08,1002776,0.099723168,31-37 days
39,Moderna,18,65+,4,3,May 02-May 08,175625,1.708185053,>37 days
40,Moderna,19,18-49,0,1,May 09-May 15,41936,2.384586036,<17 days
41,Moderna,19,18-49,2,42,May 09-May 15,5845649,0.718483097,24-30 days
42,Moderna,19,18-49,3,2,May 09-May 15,686135,0.291487827,31-37 days
43,Moderna,19,18-49,4,2,May 09-May 15,126355,1.582841993,>37 days
44,Moderna,19,50-64,0,1,May 09-May 15,45838,2.181596056,<17 days
45,Moderna,19,50-64,2,21,May 09-May 15,5219091,0.402368918,24-30 days
46,Moderna,19,50-64,3,3,May 09-May 15,576690,0.520210165,31-37 days
47,Moderna,19,65+,2,55,May 09-May 15,8412877,0.653759707,24-30 days
48,Moderna,19,65+,3,10,May 09-May 15,1036259,0.965009713,31-37 days
49,Moderna,19,65+,4,1,May 09-May 15,187766,0.532577783,>37 days
50,Moderna,20,18-49,0,1,May 16-May 22,44455,2.249465752,<17 days
51,Moderna,20,18-49,2,48,May 16-May 22,6721111,0.714167643,24-30 days
52,Moderna,20,18-49,3,2,May 16-May 22,777677,0.25717618,31-37 days
53,Moderna,20,18-49,4,2,May 16-May 22,144517,1.383920231,>37 days
54,Moderna,20,50-64,1,1,May 16-May 22,29719,3.364850769,17-23 days
55,Moderna,20,50-64,2,31,May 16-May 22,5794131,0.535024148,24-30 days
56,Moderna,20,50-64,3,3,May 16-May 22,646781,0.463835518,31-37 days
57,Moderna,20,50-64,4,1,May 16-May 22,101371,0.986475422,>37 days
58,Moderna,20,65+,2,59,May 16-May 22,8577914,0.687812911,24-30 days
59,Moderna,20,65+,3,8,May 16-May 22,1058442,0.755827906,31-37 days
60,Moderna,21,18-49,2,23,May 23-May 29,7641092,0.301004097,24-30 days
61,Moderna,21,18-49,3,4,May 23-May 29,871417,0.459022489,31-37 days
62,Moderna,21,50-64,2,20,May 23-May 29,6252036,0.319895791,24-30 days
63,Moderna,21,50-64,3,3,May 23-May 29,697725,0.429968827,31-37 days
64,Moderna,21,50-64,4,1,May 23-May 29,115915,0.862701117,>37 days
65,Moderna,21,65+,1,1,May 23-May 29,48950,2.042900919,17-23 days
66,Moderna,21,65+,2,31,May 23-May 29,8717821,0.355593445,24-30 days
67,Moderna,21,65+,3,5,May 23-May 29,1074282,0.465427141,31-37 days
68,Moderna,21,65+,4,2,May 23-May 29,205675,0.972407925,>37 days
69,Moderna,22,18-49,2,22,May 30-Jun 05,8536357,0.25772118,24-30 days
70,Moderna,22,18-49,3,5,May 30-Jun 05,976117,0.512233677,31-37 days
71,Moderna,22,18-49,4,1,May 30-Jun 05,189163,0.528644608,>37 days
72,Moderna,22,50-64,2,23,May 30-Jun 05,6607779,0.348074595,24-30 days
73,Moderna,22,50-64,3,5,May 30-Jun 05,741811,0.674026133,31-37 days
74,Moderna,22,65+,2,44,May 30-Jun 05,8842347,0.497605443,24-30 days
75,Moderna,22,65+,3,4,May 30-Jun 05,1088739,0.367397512,31-37 days
76,Moderna,23,18-49,2,26,Jun 06-Jun 12,9281718,0.280120555,24-30 days
77,Moderna,23,18-49,3,2,Jun 06-Jun 12,1059834,0.188708798,31-37 days
78,Moderna,23,18-49,4,1,Jun 06-Jun 12,214680,0.465809577,>37 days
79,Moderna,23,50-64,2,18,Jun 06-Jun 12,6910022,0.260491211,24-30 days
80,Moderna,23,50-64,3,2,Jun 06-Jun 12,774997,0.258065515,31-37 days
81,Moderna,23,65+,2,22,Jun 06-Jun 12,8954106,0.245697337,24-30 days
82,Moderna,23,65+,3,4,Jun 06-Jun 12,1100267,0.363548121,31-37 days
83,Moderna,23,65+,4,2,Jun 06-Jun 12,219233,0.912271419,>37 days
84,Moderna,24,18-49,2,29,Jun 13-Jun 19,9729512,0.298062226,24-30 days
85,Moderna,24,18-49,3,2,Jun 13-Jun 19,1118712,0.178777022,31-37 days
86,Moderna,24,50-64,2,21,Jun 13-Jun 19,7102749,0.295660173,24-30 days
87,Moderna,24,50-64,3,2,Jun 13-Jun 19,799858,0.250044383,31-37 days
88,Moderna,24,65+,0,1,Jun 13-Jun 19,242183,0.412910898,<17 days
89,Moderna,24,65+,2,20,Jun 13-Jun 19,9031468,0.221447942,24-30 days
90,Moderna,24,65+,3,3,Jun 13-Jun 19,1108867,0.270546423,31-37 days
91,Moderna,24,65+,4,2,Jun 13-Jun 19,223840,0.893495354,>37 days
92,Moderna,25,18-49,2,27,Jun 20-Jun 26,10052492,0.268590117,24-30 days
93,Moderna,25,18-49,3,3,Jun 20-Jun 26,1175113,0.255294597,31-37 days
94,Moderna,25,50-64,2,14,Jun 20-Jun 26,7238787,0.193402569,24-30 days
95,Moderna,25,50-64,3,4,Jun 20-Jun 26,823128,0.485951152,31-37 days
96,Moderna,25,65+,2,30,Jun 20-Jun 26,9089810,0.330039902,24-30 days
97,Moderna,25,65+,3,3,Jun 20-Jun 26,1117832,0.268376643,31-37 days
98,Moderna,26,18-49,2,42,Jun 27-Jul 03,10359005,0.405444345,24-30 days
99,Moderna,26,18-49,3,5,Jun 27-Jul 03,1218183,0.410447363,31-37 days
100,Moderna,26,18-49,4,1,Jun 27-Jul 03,283906,0.352229259,>37 days
101,Moderna,26,50-64,2,27,Jun 27-Jul 03,7362740,0.366711306,24-30 days
102,Moderna,26,50-64,3,4,Jun 27-Jul 03,840739,0.47577191,31-37 days
103,Moderna,26,50-64,4,1,Jun 27-Jul 03,174018,0.574653197,>37 days
104,Moderna,26,65+,1,1,Jun 27-Jul 03,51220,1.952362358,17-23 days
105,Moderna,26,65+,2,32,Jun 27-Jul 03,9142120,0.350028221,24-30 days
106,Moderna,26,65+,3,8,Jun 27-Jul 03,1124781,0.711249568,31-37 days
107,Moderna,26,65+,4,4,Jun 27-Jul 03,233190,1.715339423,>37 days
108,Moderna,27,18-49,2,44,Jul 04-Jul 10,10563098,0.416544465,24-30 days
109,Moderna,27,18-49,3,6,Jul 04-Jul 10,1257786,0.477028684,31-37 days
110,Moderna,27,18-49,4,1,Jul 04-Jul 10,304414,0.328500003,>37 days
111,Moderna,27,50-64,2,34,Jul 04-Jul 10,7444814,0.456693747,24-30 days
112,Moderna,27,50-64,3,4,Jul 04-Jul 10,856948,0.46677278,31-37 days
113,Moderna,27,50-64,4,3,Jul 04-Jul 10,182976,1.639559286,>37 days
114,Moderna,27,65+,0,1,Jul 04-Jul 10,242618,0.412170573,<17 days
115,Moderna,27,65+,1,1,Jul 04-Jul 10,51482,1.942426479,17-23 days
116,Moderna,27,65+,2,41,Jul 04-Jul 10,9178226,0.446709419,24-30 days
117,Moderna,27,65+,3,7,Jul 04-Jul 10,1131480,0.618658748,31-37 days
118,Moderna,27,65+,4,2,Jul 04-Jul 10,237424,0.842374823,>37 days
119,Moderna,28,18-49,0,1,Jul 11-Jul 17,51110,1.956564273,<17 days
120,Moderna,28,18-49,2,101,Jul 11-Jul 17,10698086,0.944094112,24-30 days
121,Moderna,28,18-49,3,15,Jul 11-Jul 17,1288378,1.16425459,31-37 days
122,Moderna,28,18-49,4,2,Jul 11-Jul 17,324806,0.615752172,>37 days
123,Moderna,28,50-64,0,1,Jul 11-Jul 17,50722,1.971531091,<17 days
124,Moderna,28,50-64,2,54,Jul 11-Jul 17,7497733,0.720217698,24-30 days
125,Moderna,28,50-64,3,9,Jul 11-Jul 17,869845,1.034667096,31-37 days
126,Moderna,28,65+,2,87,Jul 11-Jul 17,9200890,0.945560701,24-30 days
127,Moderna,28,65+,3,17,Jul 11-Jul 17,1136800,1.495425757,31-37 days
128,Moderna,29,18-49,0,1,Jul 18-Jul 24,51362,1.946964682,<17 days
129,Moderna,29,18-49,2,179,Jul 18-Jul 24,10808333,1.656129581,24-30 days
130,Moderna,29,18-49,3,24,Jul 18-Jul 24,1306115,1.83751048,31-37 days
131,Moderna,29,18-49,4,2,Jul 18-Jul 24,340216,0.587861829,>37 days
132,Moderna,29,50-64,2,99,Jul 18-Jul 24,7540901,1.312840468,24-30 days
133,Moderna,29,50-64,3,13,Jul 18-Jul 24,876836,1.48260336,31-37 days
134,Moderna,29,50-64,4,5,Jul 18-Jul 24,198312,2.5212796,>37 days
135,Moderna,29,65+,2,129,Jul 18-Jul 24,9220950,1.398988174,24-30 days
136,Moderna,29,65+,3,19,Jul 18-Jul 24,1139673,1.667144874,31-37 days
137,Moderna,29,65+,4,3,Jul 18-Jul 24,244390,1.227546135,>37 days
138,Moderna,30,18-49,0,3,Jul 25-Jul 31,51596,5.814404217,<17 days
139,Moderna,30,18-49,2,313,Jul 25-Jul 31,10917100,2.867061765,24-30 days
140,Moderna,30,18-49,3,46,Jul 25-Jul 31,1326187,3.468590779,31-37 days
141,Moderna,30,18-49,4,4,Jul 25-Jul 31,356541,1.12189061,>37 days
142,Moderna,30,50-64,2,152,Jul 25-Jul 31,7582377,2.00464841,24-30 days
143,Moderna,30,50-64,3,22,Jul 25-Jul 31,884409,2.487536875,31-37 days
144,Moderna,30,50-64,4,1,Jul 25-Jul 31,205367,0.486933149,>37 days
145,Moderna,30,65+,0,2,Jul 25-Jul 31,242902,0.823377329,<17 days
146,Moderna,30,65+,1,2,Jul 25-Jul 31,51940,3.850596843,17-23 days
147,Moderna,30,65+,2,260,Jul 25-Jul 31,9239991,2.813855555,24-30 days
148,Moderna,30,65+,3,41,Jul 25-Jul 31,1142947,3.587217955,31-37 days
149,Moderna,30,65+,4,9,Jul 25-Jul 31,247723,3.633090185,>37 days
150,Moderna,31,18-49,0,5,Aug 01-Aug 07,51855,9.642271719,<17 days
151,Moderna,31,18-49,2,456,Aug 01-Aug 07,11011226,4.141228234,24-30 days
152,Moderna,31,18-49,3,61,Aug 01-Aug 07,1342237,4.54465195,31-37 days
153,Moderna,31,18-49,4,7,Aug 01-Aug 07,372919,1.877083227,>37 days
154,Moderna,31,50-64,2,253,Aug 01-Aug 07,7619461,3.320444845,24-30 days
155,Moderna,31,50-64,3,43,Aug 01-Aug 07,890792,4.82716504,31-37 days
156,Moderna,31,50-64,4,9,Aug 01-Aug 07,212192,4.241441713,>37 days
157,Moderna,31,65+,0,5,Aug 01-Aug 07,242995,2.057655507,<17 days
158,Moderna,31,65+,1,3,Aug 01-Aug 07,52083,5.760036864,17-23 days
159,Moderna,31,65+,2,382,Aug 01-Aug 07,9257237,4.126501244,24-30 days
160,Moderna,31,65+,3,60,Aug 01-Aug 07,1145585,5.237498745,31-37 days
161,Moderna,31,65+,4,8,Aug 01-Aug 07,251152,3.185322036,>37 days
162,Moderna,32,18-49,0,2,Aug 08-Aug 14,52214,3.830390317,<17 days
163,Moderna,32,18-49,2,612,Aug 08-Aug 14,11096978,5.515014989,24-30 days
164,Moderna,32,18-49,3,101,Aug 08-Aug 14,1358294,7.435798141,31-37 days
165,Moderna,32,18-49,4,23,Aug 08-Aug 14,390882,5.884128714,>37 days
166,Moderna,32,50-64,0,1,Aug 08-Aug 14,51434,1.944239219,<17 days
167,Moderna,32,50-64,1,1,Aug 08-Aug 14,38175,2.61951539,17-23 days
168,Moderna,32,50-64,2,357,Aug 08-Aug 14,7653628,4.664454557,24-30 days
169,Moderna,32,50-64,3,57,Aug 08-Aug 14,897035,6.354267113,31-37 days
170,Moderna,32,50-64,4,14,Aug 08-Aug 14,219690,6.372615959,>37 days
171,Moderna,32,65+,0,2,Aug 08-Aug 14,243146,0.82255106,<17 days
172,Moderna,32,65+,1,2,Aug 08-Aug 14,52216,3.830243603,17-23 days
173,Moderna,32,65+,2,495,Aug 08-Aug 14,9272978,5.338090956,24-30 days
174,Moderna,32,65+,3,94,Aug 08-Aug 14,1148335,8.185764607,31-37 days
175,Moderna,32,65+,4,16,Aug 08-Aug 14,254821,6.278917358,>37 days
176,Moderna,33,18-49,1,4,Aug 15-Aug 21,51509,7.76563319,17-23 days
177,Moderna,33,18-49,2,800,Aug 15-Aug 21,11167938,7.16336355,24-30 days
178,Moderna,33,18-49,3,93,Aug 15-Aug 21,1372960,6.773686051,31-37 days
179,Moderna,33,18-49,4,31,Aug 15-Aug 21,410497,7.551821329,>37 days
180,Moderna,33,50-64,0,4,Aug 15-Aug 21,51749,7.729617964,<17 days
181,Moderna,33,50-64,1,1,Aug 15-Aug 21,38458,2.600239222,17-23 days
182,Moderna,33,50-64,2,435,Aug 15-Aug 21,7682698,5.662073402,24-30 days
183,Moderna,33,50-64,3,77,Aug 15-Aug 21,902652,8.530419253,31-37 days
184,Moderna,33,50-64,4,22,Aug 15-Aug 21,227162,9.684718395,>37 days
185,Moderna,33,65+,0,7,Aug 15-Aug 21,243334,2.876704447,<17 days
186,Moderna,33,65+,1,2,Aug 15-Aug 21,52364,3.819417921,17-23 days
187,Moderna,33,65+,2,667,Aug 15-Aug 21,9286763,7.182265769,24-30 days
188,Moderna,33,65+,3,105,Aug 15-Aug 21,1150875,9.123492994,31-37 days
189,Moderna,33,65+,4,22,Aug 15-Aug 21,258546,8.509124102,>37 days
190,Moderna,34,18-49,0,3,Aug 22-Aug 28,53173,5.641961146,<17 days
191,Moderna,34,18-49,1,4,Aug 22-Aug 28,52306,7.647306236,17-23 days
192,Moderna,34,18-49,2,933,Aug 22-Aug 28,11246993,8.295550642,24-30 days
193,Moderna,34,18-49,3,142,Aug 22-Aug 28,1386686,10.24024184,31-37 days
194,Moderna,34,18-49,4,39,Aug 22-Aug 28,428633,9.098692821,>37 days
195,Moderna,34,50-64,0,4,Aug 22-Aug 28,52058,7.68373737,<17 days
196,Moderna,34,50-64,1,1,Aug 22-Aug 28,38779,2.578715284,17-23 days
197,Moderna,34,50-64,2,561,Aug 22-Aug 28,7715822,7.270774261,24-30 days
198,Moderna,34,50-64,3,108,Aug 22-Aug 28,908355,11.88962465,31-37 days
199,Moderna,34,50-64,4,18,Aug 22-Aug 28,233976,7.693096728,>37 days
200,Moderna,34,65+,0,4,Aug 22-Aug 28,243513,1.642622776,<17 days
201,Moderna,34,65+,1,6,Aug 22-Aug 28,52536,11.42074006,17-23 days
202,Moderna,34,65+,2,761,Aug 22-Aug 28,9302378,8.180703902,24-30 days
203,Moderna,34,65+,3,135,Aug 22-Aug 28,1153380,11.70472871,31-37 days
204,Moderna,34,65+,4,29,Aug 22-Aug 28,261915,11.07229445,>37 days
205,Moderna,35,18-49,0,5,Aug 29-Sep 04,53732,9.305441822,<17 days
206,Moderna,35,18-49,1,5,Aug 29-Sep 04,53263,9.387379607,17-23 days
207,Moderna,35,18-49,2,1070,Aug 29-Sep 04,11345698,9.430887372,24-30 days
208,Moderna,35,18-49,3,153,Aug 29-Sep 04,1402382,10.91000883,31-37 days
209,Moderna,35,18-49,4,45,Aug 29-Sep 04,446770,10.07229671,>37 days
210,Moderna,35,50-64,0,4,Aug 29-Sep 04,52389,7.635190593,<17 days
211,Moderna,35,50-64,1,7,Aug 29-Sep 04,39196,17.8589652,17-23 days
212,Moderna,35,50-64,2,600,Aug 29-Sep 04,7760173,7.731786392,24-30 days
213,Moderna,35,50-64,3,112,Aug 29-Sep 04,915075,12.23943393,31-37 days
214,Moderna,35,50-64,4,26,Aug 29-Sep 04,241578,10.76256944,>37 days
215,Moderna,35,65+,0,9,Aug 29-Sep 04,243703,3.693019782,<17 days
216,Moderna,35,65+,1,3,Aug 29-Sep 04,52725,5.689900427,17-23 days
217,Moderna,35,65+,2,883,Aug 29-Sep 04,9323182,9.471015368,24-30 days
218,Moderna,35,65+,3,155,Aug 29-Sep 04,1156348,13.4042693,31-37 days
219,Moderna,35,65+,4,24,Aug 29-Sep 04,267807,8.961677626,>37 days
220,Pfizer,15,18-49,1,62,Apr 11-Apr 17,4017195,1.543365458,17-23 days
221,Pfizer,15,18-49,2,2,Apr 11-Apr 17,399829,0.500213841,24-30 days
222,Pfizer,15,50-64,0,1,Apr 11-Apr 17,44420,2.251238181,<17 days
223,Pfizer,15,50-64,1,30,Apr 11-Apr 17,2908126,1.031592166,17-23 days
224,Pfizer,15,50-64,2,3,Apr 11-Apr 17,252980,1.185864495,24-30 days
225,Pfizer,15,65+,1,63,Apr 11-Apr 17,6899598,0.913096676,17-23 days
226,Pfizer,15,65+,3,1,Apr 11-Apr 17,96125,1.040312094,31-37 days
227,Pfizer,16,18-49,1,95,Apr 18-Apr 24,4866764,1.952015754,17-23 days
228,Pfizer,16,18-49,2,9,Apr 18-Apr 24,546887,1.645678175,24-30 days
229,Pfizer,16,18-49,3,1,Apr 18-Apr 24,57040,1.75315568,31-37 days
230,Pfizer,16,18-49,4,1,Apr 18-Apr 24,34855,2.869028834,>37 days
231,Pfizer,16,50-64,0,1,Apr 18-Apr 24,51550,1.93986421,<17 days
